,precision,recall,f1-score,support
ANTHONY JOHNSON,0.0,0.0,0.0,2.0
ANTHONY NJOKUANI,0.0,0.0,0.0,1.0
ANTHONY PEROSH,0.0,0.0,0.0,1.0
ANTHONY PETTIS,0.0,0.0,0.0,2.0
ANTHONY ROCCO MARTIN,0.0,0.0,0.0,5.0
ANTHONY SMITH,0.0,0.0,0.0,3.0
ANTHONY TORRES,0.0,0.0,0.0,0.0
ANTON KUIVANEN,0.0,0.0,0.0,0.0
ANTONI HARDONK,0.0,0.0,0.0,0.0
ANTONINA SHEVCHENKO,0.0,0.0,0.0,0.0
ANTONIO BRAGA NETO,0.0,0.0,0.0,1.0
ANTONIO CARLOS JUNIOR,0.0,0.0,0.0,1.0
ANTONIO CARVALHO,0.0,0.0,0.0,0.0
ANTONIO RODRIGO NOGUEIRA,0.0,0.0,0.0,1.0
ANTONIO SILVA,0.0,0.0,0.0,1.0
ANYING WANG,0.0,0.0,0.0,0.0
AORIQILENG,0.0,0.0,0.0,1.0
ARIANE CARNELOSSI,0.0,0.0,0.0,0.0
ARIANE DA SILVA,0.0,0.0,0.0,1.0
ARJAN BHULLAR,0.0,0.0,0.0,0.0
ARMAN TSARUKYAN,0.0,0.0,0.0,1.0
ARMEN PETROSYAN,0.0,0.0,0.0,1.0
ARNOLD ALLEN,0.0,0.0,0.0,1.0
ARTEM LOBOV,0.0,0.0,0.0,1.0
ASHLEE EVANS-SMITH,0.0,0.0,0.0,2.0
ASHLEY YODER,0.0,0.0,0.0,1.0
ASKAR ASKAROV,0.0,0.0,0.0,1.0
ASPEN LADD,0.0,0.0,0.0,1.0
ASU ALMABAYEV,0.0,0.0,0.0,0.0
ATEBA GAUTIER,0.0,0.0,0.0,1.0
AUGUSTO MENDES,0.0,0.0,0.0,1.0
AUGUSTO MONTANO,0.0,0.0,0.0,1.0
AUGUSTO SAKAI,0.0,0.0,0.0,1.0
AUSTEN LANE,0.0,0.0,0.0,0.0
AUSTIN ARNETT,0.0,0.0,0.0,0.0
AUSTIN BASHI,0.0,0.0,0.0,0.0
AUSTIN HUBBARD,0.0,0.0,0.0,2.0
AUSTIN LINGO,0.0,0.0,0.0,0.0
AUSTIN VANDERFORD,0.0,0.0,0.0,1.0
AZAMAT BEKOEV,0.0,0.0,0.0,0.0
AZAMAT MURZAKANOV,0.0,0.0,0.0,1.0
AZAT MAKSUM,0.0,0.0,0.0,1.0
BAISANGUR SUSURKAEV,0.0,0.0,0.0,0.0
BART PALASZEWSKI,0.0,0.0,0.0,1.0
BARTOSZ FABINSKI,0.0,0.0,0.0,0.0
BAS RUTTEN,0.0,0.0,0.0,0.0
BASSIL HAFEZ,0.0,0.0,0.0,0.0
BATGEREL DANAA,0.0,0.0,0.0,1.0
BEA MALECKI,0.0,0.0,0.0,0.0
BEC RAWLINGS,0.0,0.0,0.0,1.0
BEKZAT ALMAKHAN,0.0,0.0,0.0,0.0
BELAL MUHAMMAD,0.0,0.0,0.0,3.0
BEN ALLOWAY,0.0,0.0,0.0,0.0
BEN ASKREN,0.0,0.0,0.0,0.0
BEN EARWOOD,0.0,0.0,0.0,0.0
BEN NGUYEN,0.0,0.0,0.0,0.0
BEN ROTHWELL,0.0,0.0,0.0,1.0
BEN SAUNDERS,0.0,0.0,0.0,4.0
BENARDO SOPAJ,0.0,0.0,0.0,1.0
BENEIL DARIUSH,0.0,0.0,0.0,4.0
BENITO LOPEZ,0.0,0.0,0.0,1.0
BENJI RADACH,0.0,0.0,0.0,0.0
BENOIT SAINT DENIS,0.0,0.0,0.0,3.0
BENSON HENDERSON,0.0,0.0,0.0,2.0
BETHE CORREIA,0.0,0.0,0.0,0.0
BEVON LEWIS,0.0,0.0,0.0,1.0
BIBULATOV MAGOMED,0.0,0.0,0.0,0.0
BILL ALGEO,0.0,0.0,0.0,2.0
BILLY ELEKANA,0.0,0.0,0.0,0.0
