iter	Accuracy	MultiClass
141	0.9003312255	0.2971873365
142	0.8997289973	0.2966509593
143	0.8997289973	0.2961997285
144	0.9000301114	0.2957124399
145	0.8998795544	0.2951860943
146	0.9003312255	0.2945754056
147	0.9010840108	0.29387904
148	0.9009334538	0.2933264232
149	0.9007828967	0.2929680439
150	0.9010840108	0.2920908973
151	0.9009334538	0.2916432222
152	0.9009334538	0.2912211466
153	0.9009334538	0.2909536982
154	0.9019873532	0.2902914964
155	0.9016862391	0.289601693
156	0.901535682	0.2893232193
157	0.9012345679	0.2887241214
158	0.9010840108	0.2882785329
159	0.901385125	0.2876059932
160	0.901535682	0.2871022307
161	0.901535682	0.286379368
162	0.9016862391	0.2859233065
163	0.9022884673	0.2855440945
164	0.9027401385	0.2851535722
165	0.9030412526	0.2845613817
166	0.9031918097	0.2841491484
167	0.9028906956	0.2836988978
168	0.9030412526	0.2831707421
169	0.9033423668	0.2826083899
170	0.9031918097	0.2823504754
171	0.9031918097	0.2816074721
172	0.9033423668	0.2810136351
173	0.9033423668	0.2806771448
174	0.9034929238	0.2801461181
175	0.9034929238	0.2797043122
176	0.9037940379	0.278832099
177	0.9040951521	0.2784019308
178	0.9036434809	0.2780357372
179	0.9040951521	0.2776366287
180	0.9048479374	0.2770487977
181	0.9052996086	0.276511279
182	0.9056007227	0.2761801345
183	0.9060523939	0.2755070334
184	0.9059018368	0.2749178417
185	0.906353508	0.274392262
186	0.9066546221	0.2739772455
187	0.9062029509	0.2737603257
188	0.906504065	0.2732851976
189	0.9068051792	0.2729348414
190	0.9069557362	0.2724622346
191	0.9074074074	0.2717734411
192	0.9075579645	0.2714099752
193	0.9069557362	0.2709443691
194	0.9075579645	0.2705508811
195	0.9074074074	0.2701478183
196	0.9075579645	0.2695526454
197	0.9078590786	0.2691170407
198	0.9078590786	0.2686617112
199	0.9083107498	0.268007074
200	0.9086118639	0.2674613651
201	0.908762421	0.2671216247
202	0.9093646492	0.2666289898
203	0.9095152063	0.2662908681
204	0.9093646492	0.2659619609
205	0.9101174345	0.2652811241
206	0.9104185486	0.2649905744
207	0.9105691057	0.2643187385
208	0.9104185486	0.2639587264
209	0.9104185486	0.263573365
210	0.9108702198	0.2631182877
211	0.9110207769	0.2627479496
212	0.9110207769	0.2625978717
213	0.9108702198	0.2622917008
214	0.9108702198	0.2619678272
215	0.9110207769	0.2612695916
216	0.911321891	0.2609815085
217	0.9116230051	0.2607761567
218	0.9120746763	0.2604429234
219	0.9122252334	0.2599894922
220	0.9122252334	0.2595877761
221	0.9131285757	0.2591403341
222	0.9122252334	0.2587111637
223	0.9126769045	0.2585295632
224	0.9129780187	0.2582685203
225	0.9125263475	0.2580341716
226	0.9123757904	0.2575916686
227	0.9122252334	0.2571441299
228	0.9126769045	0.2568016218
229	0.9129780187	0.2562106944
230	0.9129780187	0.2559753097
231	0.9134296899	0.2553782576
232	0.9134296899	0.255055462
233	0.9141824752	0.2544583232
234	0.9140319181	0.2541095874
235	0.9141824752	0.2538638763
236	0.9141824752	0.2535655467
237	0.9146341463	0.2529336991
238	0.9152363746	0.2524209356
239	0.9152363746	0.2521789196
240	0.9153869316	0.251946264
241	0.9147847034	0.2515783142
242	0.9150858175	0.2511466057
243	0.9152363746	0.2507744808
244	0.9152363746	0.2504322275
245	0.9153869316	0.2501539537
246	0.9152363746	0.2498586649
247	0.9156880458	0.2494140629
248	0.9155374887	0.2490084801
249	0.9159891599	0.2486943017
250	0.916290274	0.2481732971
251	0.9165913881	0.2477817499
252	0.9168925023	0.247372139
253	0.9167419452	0.2471605487
254	0.9170430593	0.2467439507
255	0.9167419452	0.2461847478
256	0.9170430593	0.2459280688
257	0.9168925023	0.2456212571
258	0.9171936164	0.2451077403
259	0.9173441734	0.2448332991
260	0.9170430593	0.2444651688
261	0.9170430593	0.2441518359
262	0.9173441734	0.2438265568
263	0.9177958446	0.2432162871
264	0.9177958446	0.2429351585
265	0.9180969587	0.2426678629
266	0.9183980729	0.242190883
267	0.9182475158	0.2418627747
268	0.918699187	0.2415951444
269	0.9185486299	0.2413017821
270	0.9183980729	0.2410501657
271	0.9185486299	0.2408467373
272	0.9185486299	0.2403564649
273	0.918699187	0.2401427722
274	0.9183980729	0.2398546938
275	0.9191508582	0.2392865923
276	0.9194519723	0.2388185549
277	0.9194519723	0.2384673367
278	0.9196025294	0.2380266052
279	0.9196025294	0.237644235
280	0.9199036435	0.2372652051
281	0.9197530864	0.2367783318
282	0.9200542005	0.2361381744
283	0.9202047576	0.2360048888
284	0.9200542005	0.2355740224
285	0.9200542005	0.2352272314
286	0.9203553147	0.2348641133
287	0.9214092141	0.2344193648
288	0.921258657	0.2341263346
289	0.9218608853	0.2337403745
290	0.9218608853	0.2332451684
291	0.9220114423	0.2329172418
292	0.9221619994	0.2325783948
293	0.9223125565	0.2322292553
294	0.9224631135	0.2317922902
295	0.9224631135	0.2313988771
296	0.9224631135	0.2310250522
297	0.9226136706	0.2305654985
298	0.9229147847	0.2303349177
299	0.9232158988	0.2300569364
300	0.9229147847	0.2296383112
301	0.9233664559	0.2293278493
302	0.9233664559	0.2289558886
303	0.9239686841	0.2286662985
304	0.9239686841	0.2282298846
305	0.9241192412	0.2278796116
306	0.9244203553	0.2276786986
307	0.9245709124	0.2274229569
308	0.9251731406	0.2270039713
309	0.9253236977	0.2267845604
310	0.9259259259	0.226464067
311	0.92622704	0.2260928962
312	0.926076483	0.2257371546
313	0.9257753689	0.2256044948
314	0.9256248118	0.2251229075
315	0.926076483	0.2247823268
316	0.92622704	0.2244508962
317	0.92622704	0.2241082264
318	0.9266787112	0.2237029007
319	0.9265281542	0.2232800427
320	0.9268292683	0.2230983653
321	0.9268292683	0.2226718303
322	0.9274314965	0.2223436456
323	0.9277326107	0.2219633691
324	0.9281842818	0.2218181387
325	0.9283348389	0.2213992725
326	0.9281842818	0.2210246672
327	0.9287865101	0.2206988056
328	0.9287865101	0.2203115763
329	0.928485396	0.2199039082
330	0.9290876242	0.2196987638
331	0.9292381813	0.2192544861
332	0.9290876242	0.2190130001
333	0.9290876242	0.2186572754
334	0.9290876242	0.2184138374
335	0.9292381813	0.2180049407
336	0.9296898525	0.2176527837
337	0.9293887383	0.2171914594
338	0.9295392954	0.2168351653
339	0.9293887383	0.2164879353
340	0.9301415236	0.2159467735
341	0.9301415236	0.2155154697
342	0.9299909666	0.215307339
343	0.9302920807	0.2151003894
344	0.9302920807	0.2148905299
345	0.9307437519	0.2146342207
346	0.9305931948	0.2144813538
347	0.9305931948	0.2143083996
348	0.9305931948	0.2139850191
349	0.931044866	0.2135315046
350	0.931044866	0.2131385571
351	0.9313459801	0.2129771481
352	0.9316470942	0.212671439
353	0.9323998796	0.2124928324
354	0.9320987654	0.2119806562
355	0.9322493225	0.2114501072
356	0.9327009937	0.211035962
357	0.9327009937	0.2105918533
358	0.9325504366	0.2104074167
359	0.9330021078	0.2101175602
360	0.933604336	0.2098871305
361	0.9337548931	0.2097113938
362	0.9339054502	0.2094473882
363	0.9342065643	0.2091523448
364	0.9346582355	0.2087600907
365	0.9349593496	0.2084821353
366	0.9351099067	0.2082468228
367	0.9351099067	0.2080506885
368	0.9348087925	0.2076713936
369	0.9351099067	0.2072900262
370	0.9357121349	0.2070329838
371	0.9361638061	0.2066826178
372	0.936013249	0.2064425022
373	0.935862692	0.2062094673
374	0.936013249	0.2059493353
375	0.936013249	0.2057542094
376	0.936013249	0.2054623954
377	0.9361638061	0.2051809478
378	0.935862692	0.204973932
379	0.9361638061	0.2046850671
380	0.9361638061	0.2045620489
381	0.9363143631	0.2043294099
382	0.9364649202	0.2039419771
383	0.9364649202	0.2036250217
384	0.9364649202	0.2033444536
385	0.9363143631	0.2031818529
386	0.9366154773	0.2030384397
387	0.9366154773	0.2026165075
388	0.9367660343	0.2023294131
389	0.9366154773	0.2020897965
390	0.9373682626	0.2015167073
391	0.9370671484	0.201325165
392	0.9372177055	0.2010252606
393	0.9376693767	0.2005669102
394	0.9376693767	0.2002348105
395	0.9373682626	0.1999970582
396	0.9376693767	0.199850897
397	0.9379704908	0.1996368863
398	0.9376693767	0.1992672593
399	0.9378199338	0.1990422611
400	0.938422162	0.1986106983
401	0.9387232761	0.1982400279
402	0.9385727191	0.1979903927
403	0.9385727191	0.197647115
404	0.9390243902	0.1970833436
405	0.9390243902	0.1969934344
406	0.9391749473	0.1966871317
407	0.9391749473	0.1964907584
408	0.9391749473	0.1962741619
409	0.9393255044	0.1958296761
410	0.9396266185	0.1954576558
411	0.9399277326	0.1952463935
412	0.9396266185	0.1950246035
413	0.9400782897	0.1947624774
414	0.9402288467	0.1945446557
415	0.9400782897	0.1943423964
416	0.9403794038	0.1939254523
417	0.9402288467	0.1936307068
418	0.9405299609	0.1934225513
419	0.9411321891	0.1931533673
420	0.9412827462	0.192736611
421	0.9415838603	0.1923329853
422	0.9415838603	0.1920724469
423	0.9418849744	0.191884849
424	0.9418849744	0.191542004
425	0.9420355315	0.191234768
426	0.9423366456	0.190976643
427	0.9426377597	0.1906445208
428	0.9424872026	0.1901244126
429	0.9424872026	0.1899212676
430	0.9423366456	0.1898185515
431	0.9423366456	0.1894932447
432	0.9424872026	0.1892924778
433	0.9429388738	0.1890513384
434	0.9427883168	0.18890233
435	0.9424872026	0.1886294381
436	0.9426377597	0.1884976205
437	0.9430894309	0.1880456094
438	0.943390545	0.1877472417
439	0.9429388738	0.187483484
440	0.9430894309	0.1872808841
441	0.943239988	0.1869067346
442	0.943390545	0.186709739
443	0.943390545	0.1865946048
444	0.943390545	0.1864646718
445	0.943239988	0.1863033542
446	0.943239988	0.1861469537
447	0.9436916591	0.1859769809
448	0.9435411021	0.1857713005
449	0.9438422162	0.1852494484
450	0.9442938874	0.1849363452
451	0.9448961156	0.1846225714
452	0.9450466727	0.1843942871
453	0.9447455586	0.1839547555
454	0.9448961156	0.1837937195
455	0.9456489009	0.1834693768
456	0.9459500151	0.1831146526
457	0.9459500151	0.1829575968
458	0.9461005721	0.1827826407
459	0.9461005721	0.182595391
460	0.9462511292	0.1822804749
461	0.9461005721	0.1821242439
462	0.9464016862	0.1818639603
463	0.9468533574	0.181729812
464	0.9471544715	0.1815124013
465	0.9473050286	0.1813990672
466	0.9473050286	0.181139343
467	0.9476061427	0.1809347247
468	0.9474555857	0.1807568531
469	0.9479072569	0.1804724687
470	0.9485094851	0.180138001
471	0.9486600422	0.1799616281
472	0.9486600422	0.1795661819
473	0.9486600422	0.1794463915
474	0.9491117133	0.1790998872
475	0.9494128275	0.1786705192
476	0.9495633845	0.1784614594
477	0.9492622704	0.1781555124
478	0.9495633845	0.1778989486
479	0.9498644986	0.1776087716
480	0.9498644986	0.1773722644
481	0.9498644986	0.1770703332
482	0.9498644986	0.1768012637
483	0.9500150557	0.1766153507
484	0.9501656128	0.1763703466
485	0.9503161698	0.1762586409
486	0.9503161698	0.175997098
487	0.9503161698	0.1758544148
488	0.9504667269	0.1753885672
489	0.950617284	0.175200503
490	0.9509183981	0.1748928516
491	0.9513700693	0.1746289479
492	0.9515206263	0.1744575563
493	0.9516711834	0.1741607799
494	0.9516711834	0.1739632911
495	0.9519722975	0.1735663902
496	0.9521228546	0.1733563094
497	0.9522734116	0.1731671562
498	0.9524239687	0.1730474996
499	0.9524239687	0.1727983747
